type and domain,mr,responses,templates,type,domain
"('genre', 'movie')",The Sound of Music = genre = romance film,"I would say The Sound of Music is pretty good, if youre looking for a romance film movie., I would say The Sound of Music is good, if youre looking for a romance film movie., I would say The Sound of Music is worth watching, if youre looking for a romance film movie., I would consider watching The Sound of Music, if you want to watch a romance film movie.","["" I would say {movie} is pretty good, if you're looking for {det} {genre} movie. "", "" I would say {movie} is good, if you're looking for {det} {genre} movie. "", "" I would say {movie} is worth watching, if you're looking for {det} {genre} movie. "", ' I would consider watching {movie}, if you want to watch {det} {genre} movie. ', ' I would consider {movie}, if you want to watch {det} {genre} movie. ']",genre,movie
"('genre', 'movie')",The Sound of Music = genre = romance film," I would consider The Sound of Music, if you want to watch a romance film movie.","["" I would say {movie} is pretty good, if you're looking for {det} {genre} movie. "", "" I would say {movie} is good, if you're looking for {det} {genre} movie. "", "" I would say {movie} is worth watching, if you're looking for {det} {genre} movie. "", ' I would consider watching {movie}, if you want to watch {det} {genre} movie. ', ' I would consider {movie}, if you want to watch {det} {genre} movie. ']",genre,movie
"('actor_award', 'movie')",Diane Keaton = award_received = Satellite Award for Best Actress – Motion Picture Musical or Comedy | Satellite Award for Best Actress – Motion Picture Musical or Comedy = date = 2004 | Satellite Award for Best Actress – Motion Picture Musical or Comedy = work = Something's Gotta Give,"Diane Keaton won a Satellite Award for Best Actress – Motion Picture Musical or Comedy for Somethings Gotta Give in 2004, which is quite  an achievement to me! Do you think so too?, I think its really great when a talented actor wins an award. do you think Diane Keaton deserved to win a Satellite Award for Best Actress – Motion Picture Musical or Comedy in 2004, for Somethings Gotta Give?","[' {entity} won {det} {award} for {work} in {year}, which is quite  an achievement to me! Do you think so too? ', "" I think it's really great when a talented actor wins an award. do you think {entity} deserved to win {det} {award} in {year}, for {work}? ""]",actor_award,movie
"('actor_movie', 'movie')",The Seventh Victim = cast_member = Lloyd Ingraham,"I heard Lloyd Ingraham starred in a good movie, called The Seventh Victim.","[' I heard {actor} starred in a good movie, called {movie}. ', ' I thought {actor} did a really good job portraying {poss} character in {movie}. ', "" {actor} was really good in {movie}, don't you agree? "", ' Did  you like {actor} in the movie {movie}? ']",actor_movie,movie
"('actor_movie', 'movie')",The Seventh Victim = cast_member = Lloyd Ingraham,I thought Lloyd Ingraham did a really good job portraying his character in The Seventh Victim.,"[' I heard {actor} starred in a good movie, called {movie}. ', ' I thought {actor} did a really good job portraying {poss} character in {movie}. ', "" {actor} was really good in {movie}, don't you agree? "", ' Did  you like {actor} in the movie {movie}? ']",actor_movie,movie
"('actor_movie', 'movie')",The Seventh Victim = cast_member = Lloyd Ingraham," Lloyd Ingraham was really good in The Seventh Victim, dont you agree?, Did  you like Lloyd Ingraham in the movie The Seventh Victim?","[' I heard {actor} starred in a good movie, called {movie}. ', ' I thought {actor} did a really good job portraying {poss} character in {movie}. ', "" {actor} was really good in {movie}, don't you agree? "", ' Did  you like {actor} in the movie {movie}? ']",actor_movie,movie
"('award', 'tv')",Outlander = award received = Saturn Award for Best Actor on Television | Outlander = date = 2019,Outlander won a Saturn Award for Best Actor on Television in 2019. What do you think of that?,"['  {show} won {det} {award} in {year}. ', '  {show} won {det} {award} in {year}. ', '  {show} won {det} {award} in {year}. ']",award,tv
"('award', 'tv')",Outlander = award received = Saturn Award for Best Actor on Television | Outlander = date = 2019," Outlander won a Saturn Award for Best Actor on Television in 2019. Do you think thats impressive? , Outlander won a Saturn Award for Best Actor on Television in 2019. How does the fact that it got this award affect your opinion of the show? ","['  {show} won {det} {award} in {year}. ', '  {show} won {det} {award} in {year}. ', '  {show} won {det} {award} in {year}. ']",award,tv
"('show_creator', 'tv')",I Dream = creator = Simon Fuller," Have you seen any others shows that the creator of  I Dream, Simon Fuller, has created? ","[' Have you seen any others shows that the creator of  {show}, {creator}, has created? ', ' {creator} is the creator of  {show} , have you seen any of their other work? ', "" I often am interested in other shows the creator of a show creates, are you familiar with  {show}'s creator {creator}'s other work? ""]",show_creator,tv
"('show_creator', 'tv')",I Dream = creator = Simon Fuller,"  Simon Fuller is the creator of  I Dream , have you seen any of their other work? ","[' Have you seen any others shows that the creator of  {show}, {creator}, has created? ', ' {creator} is the creator of  {show} , have you seen any of their other work? ', "" I often am interested in other shows the creator of a show creates, are you familiar with  {show}'s creator {creator}'s other work? ""]",show_creator,tv
"('show_creator', 'tv')",I Dream = creator = Simon Fuller,"  I often am interested in other shows the creator of a show creates, are you familiar with  I Dreams creator Simon Fullers other work? ","[' Have you seen any others shows that the creator of  {show}, {creator}, has created? ', ' {creator} is the creator of  {show} , have you seen any of their other work? ', "" I often am interested in other shows the creator of a show creates, are you familiar with  {show}'s creator {creator}'s other work? ""]",show_creator,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,Benifotrem is considered both a television fiction and a television fiction.  Do you like those genres of shows?,"[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,Benifotrem is considered both a television fiction and a television fiction.  Do you know other television fiction and television fiction shows?,"[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,"  Benifotrem is considered both a television fiction and a television fiction.  whats your opinion of television fictions or television fictions? ,  Benifotrem is considered both a television fiction and a television fiction.  do you like television fictions or television fictions? ","[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,Benifotrem has been called both a television fiction and a television fiction.  Do you like those genres of shows?,"[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,Benifotrem has been called both a television fiction and a television fiction.  Do you know other television fiction and television fiction shows?,"[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,"  Benifotrem has been called both a television fiction and a television fiction.  whats your opinion of television fictions or television fictions? ,  Benifotrem has been called both a television fiction and a television fiction.  do you like television fictions or television fictions? ","[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
"('genre', 'tv')",Benifotrem = genre = television fiction | Benifotrem = genre = television fiction,Benifotrem has been referred to as both a television fiction and a television fiction.  Do you like those genres of shows?,"[' {show} is considered both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} is considered both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} is considered both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} is considered both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been called both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been called both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been called both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you like those genres of shows? ', ' {show} has been referred to as both a {genre1} and a {genre2}.  Do you know other {genre1} and {genre2} shows? ', "" {show} has been referred to as both a {genre1} and a {genre2}.  what's your opinion of {genre1}{s1} or {genre2}{s2}? "", ' {show} has been referred to as both a {genre1} and a {genre2}.  do you like {genre1}{s1} or {genre2}{s2}? ']",genre,tv
